0,0
-12,-11
-23,-23
-36,-33
-49,-42
-61,-57
-68,-68
-80,-81
-96,-97
-113,-115
-130,-135
-139,-146
-150,-158
-165,-173
-185,-190
-210,-211
-237,-232
-266,-255
-298,-279
-331,-305
-367,-334
-405,-367
-444,-402
-485,-440
-527,-481
-570,-525
-614,-570
-659,-619
-706,-668
-752,-721
-799,-773
-845,-826
-892,-879
-940,-930
-988,-984
-1039,-1036
-1089,-1089
-1142,-1141
-1192,-1195
-1244,-1248
-1295,-1299
-1346,-1350
-1397,-1402
-1450,-1454
-1504,-1508
-1558,-1562
-1615,-1617
-1732,-1731
-1791,-1789
-1852,-1845
-1911,-1904
-1974,-1959
-2036,-2017
-2098,-2074
-2160,-2131
-2222,-2185
-2280,-2241
-2339,-2293
-2397,-2346
-2454,-2398
-2511,-2450
-2566,-2503
-2622,-2556
-2677,-2609
-2732,-2662
-2785,-2716
-2837,-2769
-2890,-2822
-2942,-2876
-2995,-2929
-3048,-2984
-3100,-3040
-3156,-3096
-3211,-3154
-3268,-3213
-3325,-3273
-3382,-3332
-3441,-3391
-3499,-3452
-3561,-3514
-3624,-3580
-3688,-3644
-3749,-3710
-3813,-3774
-3878,-3839
-3943,-3902
-4014,-3973
-4082,-4038
-4149,-4103
-4218,-4168
-4284,-4232
-4354,-4293
-4422,-4353
-4489,-4414
-4557,-4474
-4624,-4532
-4689,-4589
-4755,-4646
-4821,-4703
-4884,-4759
-4949,-4812
-5011,-4865
-5070,-4917
-5129,-4967
-5185,-5015
-5237,-5060
-5286,-5102
-5337,-5143
-5386,-5187
-5435,-5233
-5484,-5281
-5535,-5330
-5587,-5380
-5640,-5432
-5694,-5486
-5749,-5542
-5804,-5602
-5861,-5660
-5918,-5721
-5976,-5784
-6037,-5846
-6098,-5911
-6161,-5976
-6226,-6044
-6294,-6112
-6362,-6183
-6440,-6263
-6511,-6336
-6583,-6412
-6657,-6488
-6732,-6565
-6807,-6643
-6882,-6722
-6958,-6800
-7034,-6880
-7110,-6963
-7187,-7042
-7262,-7123
-7341,-7202
-7421,-7282
-7502,-7363
-7584,-7445
-7667,-7525
-7751,-7604
-7835,-7682
-7917,-7760
-8004,-7837
-8089,-7916
-8175,-7996
-8260,-8075
-8344,-8154
-8426,-8233
-8506,-8312
-8586,-8389
-8667,-8468
-8750,-8549
-8834,-8632
-8918,-8718
-9005,-8804
-9093,-8891
-9181,-8980
-9270,-9067
-9356,-9157
-9444,-9243
-9529,-9331
-9626,-9427
-9712,-9515
-9798,-9602
-9882,-9689
-9966,-9775
-10052,-9863
-10136,-9951
-10222,-10038
-10305,-10127
-10389,-10215
-10472,-10301
-10555,-10384
-10638,-10469
-10725,-10552
-10809,-10636
-10896,-10717
-10982,-10798
-11069,-10874
-11156,-10949
-11242,-11023
-11329,-11096
-11416,-11170
-11502,-11244
-11587,-11320
-11674,-11394
-11758,-11471
-11841,-11546
-11924,-11623
-12008,-11701
-12092,-11782
-12177,-11865
-12260,-11947
-12344,-12031
-12430,-12112
-12513,-12196
-12608,-12285
-12689,-12373
-12774,-12456
-12856,-12541
-12939,-12624
-13020,-12706
-13102,-12788
-13183,-12872
-13266,-12953
-13346,-13041
-13428,-13125
-13507,-13211
-13586,-13293
-13666,-13376
-13745,-13461
-13828,-13543
-13907,-13628
-13989,-13711
-14073,-13792
-14154,-13876
-14237,-13957
-14319,-14037
-14401,-14113
-14482,-14188
-14563,-14262
-14644,-14335
-14723,-14409
-14805,-14484
-14886,-14558
-14966,-14633
-15049,-14709
-15135,-14789
-15221,-14874
-15309,-14960
-15405,-15055
-15494,-15141
-15584,-15228
-15674,-15316
-15765,-15406
-15856,-15495
-15949,-15586
-16042,-15676
-16133,-15769
-16226,-15860
-16317,-15955
-16408,-16048
-16498,-16141
-16589,-16232
-16680,-16326
-16774,-16420
-16864,-16515
-16956,-16610
-17046,-16702
-17137,-16794
-17229,-16882
-17319,-16970
-17411,-17055
-17501,-17145
-17590,-17234
-17681,-17323
-17771,-17411
-17862,-17497
-17953,-17583
-18044,-17668
-18134,-17754
-18222,-17839
-18310,-17922
-18399,-18005
-18498,-18096
-18585,-18181
-18673,-18265
-18763,-18352
-18856,-18442
-18949,-18536
-19040,-18631
-19135,-18723
-19226,-18816
-19319,-18909
-19410,-19001
-19500,-19093
-19589,-19186
-19679,-19276
-19770,-19367
-19861,-19456
-19950,-19546
-20041,-19636
-20132,-19724
-20220,-19813
-20308,-19898
-20394,-19986
-20482,-20073
-20569,-20160
-20655,-20246
-20742,-20331
-20828,-20415
-20914,-20498
-21000,-20581
-21085,-20666
-21169,-20745
-21254,-20827
-21338,-20909
-21422,-20986
-21504,-21064
-21596,-21152
-21679,-21233
-21762,-21315
-21842,-21396
-21923,-21478
-22006,-21561
-22092,-21646
-22178,-21733
-22266,-21821
-22355,-21911
-22443,-22002
-22534,-22092
-22624,-22180
-22711,-22269
-22800,-22354
-22888,-22438
-22974,-22525
-23060,-22611
-23146,-22698
-23232,-22785
-23323,-22872
-23411,-22962
-23500,-23049
-23588,-23139
-23676,-23229
-23764,-23317
-23851,-23405
-23939,-23492
-24026,-23577
-24111,-23664
-24196,-23747
-24279,-23832
-24362,-23914
-24445,-23992
-24534,-24079
-24616,-24155
-24700,-24229
-24780,-24307
-24862,-24381
-24946,-24455
-25029,-24532
-25112,-24606
-25196,-24681
-25281,-24760
-25366,-24840
-25450,-24924
-25538,-25009
-25626,-25095
-25714,-25182
-25801,-25271
-25888,-25358
-25972,-25445
-26055,-25530
-26136,-25613
-26217,-25697
-26298,-25779
-26379,-25862
-26461,-25947
-26544,-26031
-26626,-26116
-26707,-26200
-26788,-26279
-26871,-26358
-26954,-26440
-27040,-26521
-27125,-26603
-27210,-26688
-27294,-26771
-27390,-26862
-27478,-26942
-27564,-27024
-27652,-27105
-27739,-27184
-27825,-27267
-27912,-27348
-27998,-27429
-28085,-27510
-28172,-27591
-28260,-27672
-28348,-27754
-28435,-27834
-28522,-27917
-28611,-28000
-28700,-28086
-28789,-28173
-28879,-28262
-28969,-28352
-29059,-28445
-29149,-28535
-29237,-28626
-29326,-28716
-29413,-28804
-29500,-28891
-29586,-28977
-29670,-29061
-29753,-29148
-29838,-29229
-29919,-29313
-30004,-29396
-30088,-29477
-30171,-29561
-30253,-29643
-30344,-29734
-30425,-29816
-30507,-29897
-30589,-29977
-30671,-30059
-30752,-30139
-30832,-30220
-30913,-30301
-30995,-30381
-31077,-30462
-31159,-30544
-31243,-30624
-31326,-30704
-31407,-30785
-31488,-30865
-31569,-30946
-31652,-31025
-31735,-31108
-31819,-31191
-31906,-31276
-31994,-31362
-32082,-31449
-32172,-31537
-32262,-31625
-32353,-31713
-32443,-31801
-32533,-31888
-32620,-31972
-32707,-32058
-32793,-32143
-32877,-32225
-32961,-32309
-33044,-32390
-33126,-32473
-33215,-32564
-33297,-32649
-33380,-32734
-33464,-32821
-33547,-32908
-33628,-32993
-33709,-33076
-33791,-33159
-33874,-33243
-33957,-33328
-34041,-33412
-34126,-33496
-34212,-33577
-34296,-33660
-34384,-33741
-34470,-33822
-34558,-33904
-34647,-33984
-34736,-34064
-34825,-34144
-34914,-34225
-35003,-34305
-35093,-34385
-35185,-34470
-35278,-34559
-35372,-34649
-35467,-34742
-35561,-34835
-35654,-34929
-35746,-35022
-35838,-35114
-35929,-35206
-36018,-35297
-36106,-35386
-36200,-35481
-36284,-35568
-36367,-35653
-36449,-35738
-36530,-35820
-36612,-35902
-36695,-35985
-36779,-36069
-36861,-36152
-36941,-36234
-37023,-36313
-37104,-36395
-37188,-36476
-37270,-36558
-37352,-36639
-37434,-36717
-37515,-36793
-37595,-36871
-37676,-36946
-37755,-37021
-37835,-37094
-37917,-37167
-37997,-37241
-38075,-37316
-38154,-37390
-38234,-37465
-38313,-37539
-38389,-37613
-38466,-37686
-38542,-37762
-38620,-37837
-38697,-37915
-38774,-37995
-38853,-38074
-38941,-38160
-39019,-38241
-39098,-38320
-39177,-38401
-39257,-38479
-39336,-38559
-39415,-38637
-39494,-38714
-39572,-38792
-39651,-38866
-39729,-38943
-39810,-39021
-39890,-39100
-39973,-39180
-40053,-39261
-40132,-39342
-40210,-39421
-40288,-39499
-40366,-39578
-40444,-39658
-40522,-39736
-40601,-39815
-40681,-39890
-40758,-39968
-40838,-40044
-40919,-40120
-40998,-40196
-41078,-40271
-41157,-40347
-41237,-40424
-41320,-40501
-41402,-40581
-41483,-40661
-41565,-40741
-41659,-40831
-41745,-40916
-41830,-41002
-41918,-41086
-42005,-41173
-42092,-41260
-42180,-41345
-42268,-41431
-42356,-41516
-42443,-41600
-42529,-41685
-42614,-41770
-42700,-41855
-42786,-41940
-42871,-42026
-42958,-42114
-43046,-42204
-43135,-42295
-43222,-42385
-43310,-42476
-43400,-42565
-43489,-42653
-43579,-42742
-43670,-42832
-43761,-42921
-43853,-43011
-43944,-43102
-44037,-43192
-44130,-43280
-44222,-43368
-44314,-43454
-44405,-43540
-44495,-43625
-44586,-43709
-44676,-43793
-44777,-43888
-44868,-43971
-44958,-44059
-45050,-44148
-45144,-44238
-45236,-44332
-45329,-44425
-45422,-44519
-45516,-44614
-45609,-44709
-45700,-44806
-45790,-44901
-45879,-44995
-45966,-45085
-46051,-45175
-46135,-45265
-46220,-45351
-46305,-45438
-46390,-45524
-46478,-45610
-46565,-45700
-46654,-45788
-46743,-45874
-46830,-45962
-46921,-46048
-47011,-46136
-47102,-46225
-47194,-46310
-47284,-46397
-47377,-46485
-47467,-46574
-47557,-46661
-47646,-46746
-47734,-46833
-47830,-46926
-47916,-47012
-48001,-47094
-48085,-47177
-48168,-47258
-48250,-47338
-48331,-47417
-48414,-47497
-48497,-47580
-48579,-47662
-48662,-47745
-48744,-47824
-48826,-47904
-48906,-47984
-48986,-48063
-49065,-48144
-49145,-48224
-49224,-48303
-49300,-48384
-49376,-48462
-49453,-48540
-49528,-48619
-49604,-48696
-49681,-48772
-49758,-48850
-49833,-48929
-49910,-49005
